PID		Action					Type				Time						Allocated space			Entered
1		Memory  deallocation	Deallocation		Tue May 24 18:19:13 2022		112					1
2		Memory  deallocation	Deallocation		Tue May 24 18:19:35 2022		96					1
3		Memory  allocation  	Allocation  		Tue May 24 18:19:37 2022		64					1
3		Memory  deallocation	Deallocation		Tue May 24 18:19:55 2022		64					1
1		Memory  allocation  	Allocation  		Tue May 24 18:23:24 2022		96					1
1		Memory  deallocation	Deallocation		Tue May 24 18:23:46 2022		96					1
2		Memory  allocation  	Allocation  		Tue May 24 18:23:54 2022		48					1
2		Memory  deallocation	Deallocation		Tue May 24 18:24:10 2022		48					1
3		Memory  allocation  	Allocation  		Tue May 24 18:24:24 2022		112					1
4		Memory  allocation  	Allocation  		Tue May 24 18:24:40 2022		80					1
3		Memory  deallocation	Deallocation		Tue May 24 18:24:47 2022		112					1
4		Memory  deallocation	Deallocation		Tue May 24 18:24:59 2022		80					1
5		Memory  allocation  	Allocation  		Tue May 24 18:25:00 2022		16					1
6		Memory  allocation  	Allocation  		Tue May 24 18:25:28 2022		128					1
5		Memory  deallocation	Deallocation		Tue May 24 18:25:30 2022		16					1
7		Memory  allocation  	Allocation  		Tue May 24 18:25:44 2022		32					1
7		Memory  deallocation	Deallocation		Tue May 24 18:25:56 2022		32					1
6		Memory  deallocation	Deallocation		Tue May 24 18:25:57 2022		128					1
8		Memory  allocation  	Allocation  		Tue May 24 18:26:08 2022		80					1
8		Memory  deallocation	Deallocation		Tue May 24 18:26:21 2022		80					1
9		Memory  allocation  	Allocation  		Tue May 24 18:26:30 2022		64					1
9		Memory  deallocation	Deallocation		Tue May 24 18:26:46 2022		64					1
10		Memory  allocation  	Allocation  		Tue May 24 18:26:52 2022		64					1
11		Memory  allocation  	Allocation  		Tue May 24 18:27:10 2022		64					1
10		Memory  deallocation	Deallocation		Tue May 24 18:27:15 2022		64					1
12		Memory  allocation  	Allocation  		Tue May 24 18:27:32 2022		16					1
11		Memory  deallocation	Deallocation		Tue May 24 18:27:33 2022		64					1
12		Memory  deallocation	Deallocation		Tue May 24 18:27:50 2022		16					1
13		Memory  allocation  	Allocation  		Tue May 24 18:27:51 2022		144					1
13		Memory  deallocation	Deallocation		Tue May 24 18:28:03 2022		144					1
14		Memory  allocation  	Allocation  		Tue May 24 18:28:21 2022		112					1
14		Memory  deallocation	Deallocation		Tue May 24 18:28:45 2022		112					1
15		Memory  allocation  	Allocation  		Tue May 24 18:28:48 2022		112					1
15		Memory  deallocation	Deallocation		Tue May 24 18:29:05 2022		112					1
16		Memory  allocation  	Allocation  		Tue May 24 18:29:19 2022		32					1
16		Memory  deallocation	Deallocation		Tue May 24 18:29:32 2022		32					1
17		Memory  allocation  	Allocation  		Tue May 24 18:29:38 2022		80					1
17		Memory  deallocation	Deallocation		Tue May 24 18:29:53 2022		80					1
18		Memory  allocation  	Allocation  		Tue May 24 18:29:57 2022		128					1
18		Memory  deallocation	Deallocation		Tue May 24 18:30:13 2022		128					1
19		Memory  allocation  	Allocation  		Tue May 24 18:30:25 2022		16					1
20		Memory  allocation  	Allocation  		Tue May 24 18:30:44 2022		64					1
19		Memory  deallocation	Deallocation		Tue May 24 18:30:52 2022		16					1
21		Memory  allocation  	Allocation  		Tue May 24 18:31:02 2022		16					1
20		Memory  deallocation	Deallocation		Tue May 24 18:31:07 2022		64					1
22		Memory  allocation  	Allocation  		Tue May 24 18:31:19 2022		128					1
21		Memory  deallocation	Deallocation		Tue May 24 18:31:27 2022		16					1
22		Memory  deallocation	Deallocation		Tue May 24 18:31:37 2022		128					1
23		Memory  allocation  	Allocation  		Tue May 24 18:31:48 2022		144					1
24		Memory  allocation  	Allocation  		Tue May 24 18:32:03 2022		176					1
23		Memory  deallocation	Deallocation		Tue May 24 18:32:08 2022		144					1
25		Memory  allocation  	Allocation  		Tue May 24 18:32:26 2022		64					1
24		Memory  deallocation	Deallocation		Tue May 24 18:32:27 2022		176					1
26		Memory  allocation  	Allocation  		Tue May 24 18:32:45 2022		48					1
25		Memory  deallocation	Deallocation		Tue May 24 18:32:50 2022		64					1
26		Memory  deallocation	Deallocation		Tue May 24 18:32:56 2022		48					1
27		Memory  allocation  	Allocation  		Tue May 24 18:33:07 2022		16					1
27		Memory  deallocation	Deallocation		Tue May 24 18:33:28 2022		16					1
28		Memory  allocation  	Allocation  		Tue May 24 18:33:29 2022		112					1
28		Memory  deallocation	Deallocation		Tue May 24 18:33:50 2022		112					1
29		Memory  allocation  	Allocation  		Tue May 24 18:33:59 2022		112					1
29		Memory  deallocation	Deallocation		Tue May 24 18:34:18 2022		112					1
30		Memory  allocation  	Allocation  		Tue May 24 18:34:25 2022		192					1
30		Memory  deallocation	Deallocation		Tue May 24 18:34:47 2022		192					1
31		Memory  allocation  	Allocation  		Tue May 24 18:34:52 2022		192					1
31		Memory  deallocation	Deallocation		Tue May 24 18:35:05 2022		192					1
32		Memory  allocation  	Allocation  		Tue May 24 18:35:20 2022		80					1
33		Memory  allocation  	Allocation  		Tue May 24 18:35:35 2022		80					1
32		Memory  deallocation	Deallocation		Tue May 24 18:35:37 2022		80					1
34		Memory  allocation  	Allocation  		Tue May 24 18:35:56 2022		144					1
33		Memory  deallocation	Deallocation		Tue May 24 18:35:59 2022		80					1
